[*] 25/04/2026 12:06:30 - Starting HardeningKitty
[*] 25/04/2026 12:06:30 - Getting machine information
[*] Hostname: WIN-1C36PIUNOJK
[*] Domain: WORKGROUP
[*] Domain role: StandaloneServer
[*] Install date: 04/16/2026 14:48:06
[*] Last Boot Time: 04/25/2026 09:53:35
[*] Uptime: 02:12:55.0286583
[*] Windows: Microsoft Windows Server 2019 Standard
[*] Windows edition: ServerStandard
[*] Windows version: 1809
[*] Windows build: 17763.1.amd64fre.rs5_release.180914-1434
[*] System-locale: fr-FR
[*] Powershell Version: 5.1
[*] 25/04/2026 12:06:35 - Language warning
[?] 25/04/2026 12:06:35 - HardeningKitty was developed for the system language 'en-US'. This system uses 'fr-FR' Language-dependent analyses can sometimes produce false results. Please create an issue if this occurs.
[*] 25/04/2026 12:06:35 - Getting user information
[*] Username: WIN-1C36PIUNOJK\ansible
[*] Is Admin: True
[*] 25/04/2026 12:06:35 - Starting Category Account Policies
ID 1.1.1, Length of password history maintained, 24, Account policy set
ID 18.4.12, HKLM:\SYSTEM\CurrentControlSet\Services\Eventlog\Security, WarningLevel, Registry value created/modified
[*] 25/04/2026 12:07:08 - Starting Category Administrative Templates: Network
ID 18.5.4.1, HKLM:\Software\Policies\Microsoft\Windows NT\DNSClient, EnableMulticast, Registry value created/modified
ID 18.5.5.1, HKLM:\SOFTWARE\Policies\Microsoft\Windows\System, EnableFontProviders, Registry value created/modified
ID 18.5.8.1, HKLM:\Software\Policies\Microsoft\Windows\LanmanWorkstation, AllowInsecureGuestAuth, Registry key created
ID 18.5.8.1, HKLM:\Software\Policies\Microsoft\Windows\LanmanWorkstation, AllowInsecureGuestAuth, Registry value created/modified
ID 18.5.9.1.1, HKLM:\Software\Policies\Microsoft\Windows\LLTD, AllowLLTDIOOndomain, Registry key created
ID 18.5.9.1.1, HKLM:\Software\Policies\Microsoft\Windows\LLTD, AllowLLTDIOOndomain, Registry value created/modified
ID 18.5.9.1.2, HKLM:\Software\Policies\Microsoft\Windows\LLTD, AllowLLTDIOOnPublicNet, Registry value created/modified
ID 18.5.9.1.3, HKLM:\Software\Policies\Microsoft\Windows\LLTD, EnableLLTDIO, Registry value created/modified
ID 18.5.9.1.4, HKLM:\Software\Policies\Microsoft\Windows\LLTD, ProhibitLLTDIOOnPrivateNet, Registry value created/modified
ID 18.5.9.2.1, HKLM:\SOFTWARE\Policies\Microsoft\Windows\LLTD, AllowRspndrOnDomain, Registry value created/modified
ID 18.5.9.2.2, HKLM:\Software\Policies\Microsoft\Windows\LLTD, AllowRspndrOnPublicNet, Registry value created/modified
ID 18.5.9.2.3, HKLM:\Software\Policies\Microsoft\Windows\LLTD, EnableRspndr, Registry value created/modified
ID 18.5.9.2.4, HKLM:\Software\Policies\Microsoft\Windows\LLTD, ProhibitRspndrOnPrivateNet, Registry value created/modified
ID 18.5.10.2, HKLM:\Software\policies\Microsoft\Peernet, Disabled, Registry key created
ID 18.5.10.2, HKLM:\Software\policies\Microsoft\Peernet, Disabled, Registry value created/modified
ID 18.5.11.2, HKLM:\Software\Policies\Microsoft\Windows\Network Connections, NC_AllowNetBridge_NLA, Registry value created/modified
ID 18.5.11.3, HKLM:\Software\Policies\Microsoft\Windows\Network Connections, NC_ShowSharedAccessUI, Registry value created/modified
ID 18.5.11.4, HKLM:\Software\Policies\Microsoft\Windows\Network Connections, NC_StdDomainUserSetLocation, Registry value created/modified
ID 18.5.14.1.1, HKLM:\Software\Policies\Microsoft\Windows\NetworkProvider\HardenedPaths, \\*\NETLOGON, Registry value created/modified
ID 18.5.14.1.2, HKLM:\Software\Policies\Microsoft\Windows\NetworkProvider\HardenedPaths, \\*\SYSVOL, Registry value created/modified
ID 18.5.19.2.1, HKLM:\SYSTEM\CurrentControlSet\Services\TCPIP6\Parameters, DisabledComponents, Registry value created/modified
ID 18.5.20.1.1, HKLM:\SOFTWARE\Policies\Microsoft\Windows\WCN\Registrars, EnableRegistrars, Registry key created
ID 18.5.20.1.1, HKLM:\SOFTWARE\Policies\Microsoft\Windows\WCN\Registrars, EnableRegistrars, Registry value created/modified
ID 18.5.20.1.2, HKLM:\SOFTWARE\Policies\Microsoft\Windows\WCN\Registrars, DisableUPnPRegistrar, Registry value created/modified
ID 18.5.20.1.3, HKLM:\SOFTWARE\Policies\Microsoft\Windows\WCN\Registrars, DisableInBand802DOT11Registrar, Registry value created/modified
ID 18.5.20.1.4, HKLM:\SOFTWARE\Policies\Microsoft\Windows\WCN\Registrars, DisableFlashConfigRegistrar, Registry value created/modified
ID 18.5.20.1.5, HKLM:\SOFTWARE\Policies\Microsoft\Windows\WCN\Registrars, DisableWPDRegistrar, Registry value created/modified
ID 18.5.20.2, HKLM:\SOFTWARE\Policies\Microsoft\Windows\WCN\UI, DisableWcnUi, Registry key created
ID 18.5.20.2, HKLM:\SOFTWARE\Policies\Microsoft\Windows\WCN\UI, DisableWcnUi, Registry value created/modified
ID 18.5.21.1, HKLM:\SOFTWARE\Policies\Microsoft\Windows\WcmSvc\GroupPolicy, fMinimizeConnections, Registry value created/modified
ID 18.5.21.2, HKLM:\Software\Policies\Microsoft\Windows\WcmSvc\GroupPolicy, fBlockNonDomain, Registry value created/modified
[*] 25/04/2026 12:07:09 - Starting Category Administrative Templates: Start Menu and Taskbar
ID 18.7.1.1, HKLM:\SOFTWARE\Policies\Microsoft\Windows\CurrentVersion\PushNotifications, NoCloudApplicationNotification, Registry key created
ID 18.7.1.1, HKLM:\SOFTWARE\Policies\Microsoft\Windows\CurrentVersion\PushNotifications, NoCloudApplicationNotification, Registry value created/modified
[*] 25/04/2026 12:07:09 - Starting Category Administrative Templates: System
ID 18.8.3.1, HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System\Audit, ProcessCreationIncludeCmdLine_Enabled, Registry value created/modified
ID 18.8.4.1, HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System\CredSSP\Parameters, AllowEncryptionOracle, Registry key created
ID 18.8.4.1, HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System\CredSSP\Parameters, AllowEncryptionOracle, Registry value created/modified
ID 18.8.4.2, HKLM:\Software\Policies\Microsoft\Windows\CredentialsDelegation, AllowProtectedCreds, Registry key created
ID 18.8.4.2, HKLM:\Software\Policies\Microsoft\Windows\CredentialsDelegation, AllowProtectedCreds, Registry value created/modified
ID 18.8.5.1, HKLM:\SOFTWARE\Policies\Microsoft\Windows\DeviceGuard, EnableVirtualizationBasedSecurity, Registry value created/modified
ID 18.8.5.2, HKLM:\SOFTWARE\Policies\Microsoft\Windows\DeviceGuard, RequirePlatformSecurityFeatures, Registry value created/modified
ID 18.8.5.3, HKLM:\SOFTWARE\Policies\Microsoft\Windows\DeviceGuard, HypervisorEnforcedCodeIntegrity, Registry value created/modified
ID 18.8.5.4, HKLM:\SOFTWARE\Policies\Microsoft\Windows\DeviceGuard, HVCIMATRequired, Registry value created/modified
ID 18.8.5.5, HKLM:\SOFTWARE\Policies\Microsoft\Windows\DeviceGuard, LsaCfgFlags, Registry value created/modified
ID 18.8.5.6, HKLM:\SOFTWARE\Policies\Microsoft\Windows\DeviceGuard, LsaCfgFlags, Registry value created/modified
ID 18.8.5.7, HKLM:\SOFTWARE\Policies\Microsoft\Windows\DeviceGuard, ConfigureSystemGuardLaunch, Registry value created/modified
ID 18.8.14.1, HKLM:\System\CurrentControlSet\Policies\EarlyLaunch, DriverLoadPolicy, Registry key created
ID 18.8.14.1, HKLM:\System\CurrentControlSet\Policies\EarlyLaunch, DriverLoadPolicy, Registry value created/modified
ID 18.8.21.2, HKLM:\Software\Policies\Microsoft\Windows\Group Policy\{35378EAC-683F-11D2-A89A-00C04FBBCFA2}, NoGPOListChanges, Registry key created
ID 18.8.21.2, HKLM:\Software\Policies\Microsoft\Windows\Group Policy\{35378EAC-683F-11D2-A89A-00C04FBBCFA2}, NoGPOListChanges, Registry value created/modified
ID 18.8.21.3, HKLM:\Software\Policies\Microsoft\Windows\Group Policy\{35378EAC-683F-11D2-A89A-00C04FBBCFA2}, NoBackgroundPolicy, Registry value created/modified
ID 18.8.21.4, HKLM:\SOFTWARE\Policies\Microsoft\Windows\System, EnableCdp, Registry value created/modified
ID 18.8.21.5, HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System, DisableBkGndGroupPolicy, Registry value created/modified
ID 18.8.22.1.1, HKLM:\Software\Policies\Microsoft\Windows NT\Printers, DisableWebPnPDownload, Registry key created
ID 18.8.22.1.1, HKLM:\Software\Policies\Microsoft\Windows NT\Printers, DisableWebPnPDownload, Registry value created/modified
ID 18.8.22.1.2, HKLM:\SOFTWARE\Policies\Microsoft\Windows\TabletPC, PreventHandwritingDataSharing, Registry key created
ID 18.8.22.1.2, HKLM:\SOFTWARE\Policies\Microsoft\Windows\TabletPC, PreventHandwritingDataSharing, Registry value created/modified
ID 18.8.22.1.3, HKLM:\SOFTWARE\Policies\Microsoft\Windows\HandwritingErrorReports, PreventHandwritingErrorReports, Registry key created
ID 18.8.22.1.3, HKLM:\SOFTWARE\Policies\Microsoft\Windows\HandwritingErrorReports, PreventHandwritingErrorReports, Registry value created/modified
ID 18.8.22.1.4, HKLM:\SOFTWARE\Policies\Microsoft\Windows\Internet Connection Wizard, ExitOnMSICW, Registry key created
ID 18.8.22.1.4, HKLM:\SOFTWARE\Policies\Microsoft\Windows\Internet Connection Wizard, ExitOnMSICW, Registry value created/modified
ID 18.8.22.1.5, HKLM:\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer, NoWebServices, Registry value created/modified
ID 18.8.22.1.6, HKLM:\SOFTWARE\Policies\Microsoft\Windows NT\Printers, DisableHTTPPrinting, Registry value created/modified
ID 18.8.22.1.7, HKLM:\SOFTWARE\Policies\Microsoft\Windows\Registration Wizard Control, NoRegistration, Registry key created
ID 18.8.22.1.7, HKLM:\SOFTWARE\Policies\Microsoft\Windows\Registration Wizard Control, NoRegistration, Registry value created/modified
ID 18.8.22.1.8, HKLM:\SOFTWARE\Policies\Microsoft\SearchCompanion, DisableContentFileUpdates, Registry key created
ID 18.8.22.1.8, HKLM:\SOFTWARE\Policies\Microsoft\SearchCompanion, DisableContentFileUpdates, Registry value created/modified
ID 18.8.22.1.9, HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\Explorer, NoOnlinePrintsWizard, Registry value created/modified
ID 18.8.22.1.10, HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\Explorer, NoPublishingWizard, Registry value created/modified
ID 18.8.22.1.11, HKLM:\Software\Policies\Microsoft\Messenger\Client, CEIP, Registry key created
ID 18.8.22.1.11, HKLM:\Software\Policies\Microsoft\Messenger\Client, CEIP, Registry value created/modified
ID 18.8.22.1.12, HKLM:\Software\Policies\Microsoft\SQMClient\Windows, CEIPEnable, Registry key created
ID 18.8.22.1.12, HKLM:\Software\Policies\Microsoft\SQMClient\Windows, CEIPEnable, Registry value created/modified
ID 18.8.22.1.13.1, HKLM:\Software\Policies\Microsoft\PCHealth\ErrorReporting, DoReport, Registry key created
ID 18.8.22.1.13.1, HKLM:\Software\Policies\Microsoft\PCHealth\ErrorReporting, DoReport, Registry value created/modified
ID 18.8.22.1.13.2, HKLM:\Software\Policies\Microsoft\Windows\Windows Error Reporting, Disabled, Registry key created
ID 18.8.22.1.13.2, HKLM:\Software\Policies\Microsoft\Windows\Windows Error Reporting, Disabled, Registry value created/modified
ID 18.8.25.1.1, HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System\kerberos\parameters, DevicePKInitBehavior, Registry value created/modified
ID 18.8.25.1.2, HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System\kerberos\parameters, DevicePKInitEnabled, Registry value created/modified
ID 18.8.26.1, HKLM:\SOFTWARE\Policies\Microsoft\Windows\Kernel DMA Protection, DeviceEnumerationPolicy, Registry key created
ID 18.8.26.1, HKLM:\SOFTWARE\Policies\Microsoft\Windows\Kernel DMA Protection, DeviceEnumerationPolicy, Registry value created/modified
ID 18.8.27.1, HKLM:\SOFTWARE\Policies\Microsoft\Control Panel\International, BlockUserInputMethodsForSignIn, Registry key created
ID 18.8.27.1, HKLM:\SOFTWARE\Policies\Microsoft\Control Panel\International, BlockUserInputMethodsForSignIn, Registry value created/modified
ID 18.8.28.1, HKLM:\SOFTWARE\Policies\Microsoft\Windows\System, BlockUserFromShowingAccountDetailsOnSignin, Registry value created/modified
ID 18.8.28.2, HKLM:\Software\Policies\Microsoft\Windows\System, DontDisplayNetworkSelectionUI, Registry value created/modified
ID 18.8.28.3, HKLM:\SOFTWARE\Policies\Microsoft\Windows\System, DontEnumerateConnectedUsers, Registry value created/modified
ID 18.8.28.4, HKLM:\Software\Policies\Microsoft\Windows\System, EnumerateLocalUsers, Registry value created/modified
ID 18.8.28.5, HKLM:\Software\Policies\Microsoft\Windows\System, DisableLockScreenAppNotifications, Registry value created/modified
ID 18.8.28.6, HKLM:\SOFTWARE\Policies\Microsoft\Windows\System, BlockDomainPicturePassword, Registry value created/modified
ID 18.8.28.7, HKLM:\Software\Policies\Microsoft\Windows\System, AllowDomainPINLogon, Registry value created/modified
ID 18.8.31.1, HKLM:\SOFTWARE\Policies\Microsoft\Windows\System, AllowCrossDeviceClipboard, Registry value created/modified
ID 18.8.31.2, HKLM:\SOFTWARE\Policies\Microsoft\Windows\System, UploadUserActivities, Registry value created/modified
ID 18.8.34.6.1, HKLM:\SOFTWARE\Policies\Microsoft\Power\PowerSettings\f15576e8-98b7-4186-b944-eafa664402d9, DCSettingIndex, Registry key created
ID 18.8.34.6.1, HKLM:\SOFTWARE\Policies\Microsoft\Power\PowerSettings\f15576e8-98b7-4186-b944-eafa664402d9, DCSettingIndex, Registry value created/modified
ID 18.8.34.6.2, HKLM:\SOFTWARE\Policies\Microsoft\Power\PowerSettings\f15576e8-98b7-4186-b944-eafa664402d9, ACSettingIndex, Registry value created/modified
ID 18.8.34.6.3, HKLM:\Software\Policies\Microsoft\Power\PowerSettings\0e796bdb-100d-47d6-a2d5-f7d2daa51f51, DCSettingIndex, Registry key created
ID 18.8.34.6.3, HKLM:\Software\Policies\Microsoft\Power\PowerSettings\0e796bdb-100d-47d6-a2d5-f7d2daa51f51, DCSettingIndex, Registry value created/modified
ID 18.8.34.6.4, HKLM:\Software\Policies\Microsoft\Power\PowerSettings\0e796bdb-100d-47d6-a2d5-f7d2daa51f51, ACSettingIndex, Registry value created/modified
ID 18.8.36.1, HKLM:\Software\policies\Microsoft\Windows NT\Terminal Services, fAllowUnsolicited, Registry value created/modified
ID 18.8.36.2, HKLM:\Software\policies\Microsoft\Windows NT\Terminal Services, fAllowToGetHelp, Registry value created/modified
ID 18.8.37.1, HKLM:\Software\Policies\Microsoft\Windows NT\Rpc, EnableAuthEpResolution, Registry key created
ID 18.8.37.1, HKLM:\Software\Policies\Microsoft\Windows NT\Rpc, EnableAuthEpResolution, Registry value created/modified
ID 18.8.37.2, HKLM:\Software\Policies\Microsoft\Windows NT\Rpc, RestrictRemoteClients, Registry value created/modified
ID 18.8.47.5.1, HKLM:\SOFTWARE\Policies\Microsoft\Windows\ScriptedDiagnosticsProvider\Policy, DisableQueryRemoteServer, Registry key created
ID 18.8.47.5.1, HKLM:\SOFTWARE\Policies\Microsoft\Windows\ScriptedDiagnosticsProvider\Policy, DisableQueryRemoteServer, Registry value created/modified
ID 18.8.47.11.1, HKLM:\SOFTWARE\Policies\Microsoft\Windows\WDI\{9c5a40da-b965-4fc3-8781-88dd50a6299d}, ScenarioExecutionEnabled, Registry key created
ID 18.8.47.11.1, HKLM:\SOFTWARE\Policies\Microsoft\Windows\WDI\{9c5a40da-b965-4fc3-8781-88dd50a6299d}, ScenarioExecutionEnabled, Registry value created/modified
ID 18.8.49.1, HKLM:\SOFTWARE\Policies\Microsoft\Windows\AdvertisingInfo, DisabledByGroupPolicy, Registry key created
ID 18.8.49.1, HKLM:\SOFTWARE\Policies\Microsoft\Windows\AdvertisingInfo, DisabledByGroupPolicy, Registry value created/modified
ID 18.8.52.1.1, HKLM:\Software\Policies\Microsoft\W32time\TimeProviders\NtpClient, Enabled, Registry key created
ID 18.8.52.1.1, HKLM:\Software\Policies\Microsoft\W32time\TimeProviders\NtpClient, Enabled, Registry value created/modified
ID 18.8.52.1.2, HKLM:\Software\Policies\Microsoft\W32time\TimeProviders\NtpServer, Enabled, Registry key created
ID 18.8.52.1.2, HKLM:\Software\Policies\Microsoft\W32time\TimeProviders\NtpServer, Enabled, Registry value created/modified
[*] 25/04/2026 12:07:10 - Starting Category Administrative Templates: Windows Components
ID 18.9.4.1, HKLM:\Software\Policies\Microsoft\Windows\CurrentVersion\AppModel\StateManager, AllowSharedLocalAppData, Registry key created
ID 18.9.4.1, HKLM:\Software\Policies\Microsoft\Windows\CurrentVersion\AppModel\StateManager, AllowSharedLocalAppData, Registry value created/modified
ID 18.9.6.1, HKLM:\Software\Microsoft\Windows\CurrentVersion\Policies\System, MSAOptional, Registry value created/modified
ID 18.9.8.1, HKLM:\Software\Policies\Microsoft\Windows\Explorer, NoAutoplayfornonVolume, Registry key created
ID 18.9.8.1, HKLM:\Software\Policies\Microsoft\Windows\Explorer, NoAutoplayfornonVolume, Registry value created/modified
ID 18.9.8.2, HKLM:\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer, NoAutorun, Registry value created/modified
ID 18.9.8.3, HKLM:\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer, NoDriveTypeAutoRun, Registry value created/modified
ID 18.9.10.1.1, HKLM:\SOFTWARE\Policies\Microsoft\Biometrics\FacialFeatures, EnhancedAntiSpoofing, Registry key created
ID 18.9.10.1.1, HKLM:\SOFTWARE\Policies\Microsoft\Biometrics\FacialFeatures, EnhancedAntiSpoofing, Registry value created/modified
ID 18.9.12.1, HKLM:\SOFTWARE\Policies\Microsoft\Camera, AllowCamera, Registry key created
ID 18.9.12.1, HKLM:\SOFTWARE\Policies\Microsoft\Camera, AllowCamera, Registry value created/modified
ID 18.9.13.1, HKLM:\Software\Policies\Microsoft\Windows\CloudContent, DisableWindowsConsumerFeatures, Registry key created
ID 18.9.13.1, HKLM:\Software\Policies\Microsoft\Windows\CloudContent, DisableWindowsConsumerFeatures, Registry value created/modified
ID 18.9.14.1, HKLM:\SOFTWARE\Policies\Microsoft\Windows\Connect, RequirePinForPairing, Registry key created
ID 18.9.14.1, HKLM:\SOFTWARE\Policies\Microsoft\Windows\Connect, RequirePinForPairing, Registry value created/modified
ID 18.9.15.1, HKLM:\Software\Policies\Microsoft\Windows\CredUI, DisablePasswordReveal, Registry key created
ID 18.9.15.1, HKLM:\Software\Policies\Microsoft\Windows\CredUI, DisablePasswordReveal, Registry value created/modified
ID 18.9.15.2, HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\CredUI, EnumerateAdministrators, Registry key created
ID 18.9.15.2, HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\CredUI, EnumerateAdministrators, Registry value created/modified
ID 18.9.16.1, HKLM:\Software\Policies\Microsoft\Windows\DataCollection, AllowTelemetry, Registry value created/modified
ID 18.9.16.2, HKLM:\Software\Policies\Microsoft\Windows\DataCollection, DisableEnterpriseAuthProxy, Registry value created/modified
ID 18.9.16.3, HKLM:\Software\Policies\Microsoft\Windows\DataCollection, DoNotShowFeedbackNotifications, Registry value created/modified
ID 18.9.16.4, HKLM:\SOFTWARE\Policies\Microsoft\Windows\PreviewBuilds, AllowBuildPreview, Registry key created
ID 18.9.16.4, HKLM:\SOFTWARE\Policies\Microsoft\Windows\PreviewBuilds, AllowBuildPreview, Registry value created/modified
ID 18.9.26.1.1, HKLM:\Software\Policies\Microsoft\Windows\EventLog\Application, Retention, Registry value created/modified
ID 18.9.26.1.2, HKLM:\Software\Policies\Microsoft\Windows\EventLog\Application, MaxSize, Registry value created/modified
ID 18.9.26.2.1, HKLM:\Software\Policies\Microsoft\Windows\EventLog\Security, Retention, Registry value created/modified
ID 18.9.26.2.2, HKLM:\Software\Policies\Microsoft\Windows\EventLog\Security, MaxSize, Registry value created/modified
ID 18.9.26.3.1, HKLM:\Software\Policies\Microsoft\Windows\EventLog\Setup, Retention, Registry value created/modified
ID 18.9.26.3.2, HKLM:\Software\Policies\Microsoft\Windows\EventLog\Setup, MaxSize, Registry value created/modified
ID 18.9.26.4.1, HKLM:\Software\Policies\Microsoft\Windows\EventLog\System, Retention, Registry value created/modified
ID 18.9.26.4.2, HKLM:\Software\Policies\Microsoft\Windows\EventLog\System, MaxSize, Registry value created/modified
ID 18.9.30.2, HKLM:\SOFTWARE\Policies\Microsoft\Windows\Explorer, NoDataExecutionPrevention, Registry value created/modified
ID 18.9.30.3, HKLM:\SOFTWARE\Policies\Microsoft\Windows\Explorer, NoHeapTerminationOnCorruption, Registry value created/modified
ID 18.9.30.4, HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\Explorer, PreXPSP2ShellProtocolBehavior, Registry value created/modified
ID 18.9.39.1, HKLM:\SOFTWARE\Policies\Microsoft\Windows\LocationAndSensors, DisableLocation, Registry key created
ID 18.9.39.1, HKLM:\SOFTWARE\Policies\Microsoft\Windows\LocationAndSensors, DisableLocation, Registry value created/modified
ID 18.9.43.1, HKLM:\SOFTWARE\Policies\Microsoft\Windows\Messaging, AllowMessageSync, Registry key created
ID 18.9.43.1, HKLM:\SOFTWARE\Policies\Microsoft\Windows\Messaging, AllowMessageSync, Registry value created/modified
ID 18.9.44.1, HKLM:\SOFTWARE\Policies\Microsoft\MicrosoftAccount, DisableUserAuth, Registry key created
ID 18.9.44.1, HKLM:\SOFTWARE\Policies\Microsoft\MicrosoftAccount, DisableUserAuth, Registry value created/modified
ID 18.9.52.1, HKLM:\Software\Policies\Microsoft\Windows\OneDrive, DisableFileSyncNGSC, Registry key created
ID 18.9.52.1, HKLM:\Software\Policies\Microsoft\Windows\OneDrive, DisableFileSyncNGSC, Registry value created/modified
ID 18.9.59.2.2, HKLM:\SOFTWARE\Policies\Microsoft\Windows NT\Terminal Services, DisablePasswordSaving, Registry value created/modified
ID 18.9.59.3.2.1, HKLM:\SOFTWARE\Policies\Microsoft\Windows NT\Terminal Services, fSingleSessionPerUser, Registry value created/modified
ID 18.9.59.3.3.1, HKLM:\SOFTWARE\Policies\Microsoft\Windows NT\Terminal Services, fDisableCcm, Registry value created/modified
ID 18.9.59.3.3.2, HKLM:\SOFTWARE\Policies\Microsoft\Windows NT\Terminal Services, fDisableCdm, Registry value created/modified
ID 18.9.59.3.3.3, HKLM:\SOFTWARE\Policies\Microsoft\Windows NT\Terminal Services, fDisableLPT, Registry value created/modified
ID 18.9.59.3.3.4, HKLM:\SOFTWARE\Policies\Microsoft\Windows NT\Terminal Services, fDisablePNPRedir, Registry value created/modified
ID 18.9.59.3.9.1, HKLM:\SOFTWARE\Policies\Microsoft\Windows NT\Terminal Services, fPromptForPassword, Registry value created/modified
ID 18.9.59.3.9.2, HKLM:\SOFTWARE\Policies\Microsoft\Windows NT\Terminal Services, fEncryptRPCTraffic, Registry value created/modified
ID 18.9.59.3.9.3, HKLM:\SOFTWARE\Policies\Microsoft\Windows NT\Terminal Services, SecurityLayer, Registry value created/modified
ID 18.9.59.3.9.4, HKLM:\SOFTWARE\Policies\Microsoft\Windows NT\Terminal Services, UserAuthentication, Registry value created/modified
ID 18.9.59.3.9.5, HKLM:\SOFTWARE\Policies\Microsoft\Windows NT\Terminal Services, MinEncryptionLevel, Registry value created/modified
ID 18.9.59.3.10.1, HKLM:\SOFTWARE\Policies\Microsoft\Windows NT\Terminal Services, MaxIdleTime, Registry value created/modified
ID 18.9.59.3.10.2, HKLM:\SOFTWARE\Policies\Microsoft\Windows NT\Terminal Services, MaxDisconnectionTime, Registry value created/modified
ID 18.9.59.3.11.1, HKLM:\SOFTWARE\Policies\Microsoft\Windows NT\Terminal Services, DeleteTempDirsOnExit, Registry value created/modified
ID 18.9.59.3.11.2, HKLM:\SOFTWARE\Policies\Microsoft\Windows NT\Terminal Services, PerSessionTempDir, Registry value created/modified
ID 18.9.60.1, HKLM:\Software\Policies\Microsoft\Internet Explorer\Feeds, DisableEnclosureDownload, Registry key created
ID 18.9.60.1, HKLM:\Software\Policies\Microsoft\Internet Explorer\Feeds, DisableEnclosureDownload, Registry value created/modified
ID 18.9.61.2, HKLM:\SOFTWARE\Policies\Microsoft\Windows\Windows Search, AllowCloudSearch, Registry key created
ID 18.9.61.2, HKLM:\SOFTWARE\Policies\Microsoft\Windows\Windows Search, AllowCloudSearch, Registry value created/modified
ID 18.9.61.3, HKLM:\SOFTWARE\Policies\Microsoft\Windows\Windows Search, AllowIndexingEncryptedStoresOrItems, Registry value created/modified
ID 18.9.66.1, HKLM:\SOFTWARE\Policies\Microsoft\Windows NT\CurrentVersion\Software Protection Platform, NoGenTicket, Registry key created
ID 18.9.66.1, HKLM:\SOFTWARE\Policies\Microsoft\Windows NT\CurrentVersion\Software Protection Platform, NoGenTicket, Registry value created/modified
[*] 25/04/2026 12:07:16 - Starting Category Microsoft Defender Antivirus
ID 18.9.77.3.1, HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\Spynet, LocalSettingOverrideSpynetReporting, Registry key created
ID 18.9.77.3.1, HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\Spynet, LocalSettingOverrideSpynetReporting, Registry value created/modified
ID 18.9.77.3.2, HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\Spynet, SpynetReporting, Registry value created/modified
ID 18.9.77.7.1, HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\Real-Time Protection, DisableBehaviorMonitoring, Registry key created
ID 18.9.77.7.1, HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\Real-Time Protection, DisableBehaviorMonitoring, Registry value created/modified
ID 18.9.77.9.1, HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\Reporting, DisableGenericRePorts, Registry key created
ID 18.9.77.9.1, HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\Reporting, DisableGenericRePorts, Registry value created/modified
ID 18.9.77.10.1, HKLM:\Software\Policies\Microsoft\Windows Defender\Scan, DisableRemovableDriveScanning, Registry key created
ID 18.9.77.10.1, HKLM:\Software\Policies\Microsoft\Windows Defender\Scan, DisableRemovableDriveScanning, Registry value created/modified
ID 18.9.77.10.2, HKLM:\Software\Policies\Microsoft\Windows Defender\Scan, DisableEmailScanning, Registry value created/modified
[*] 25/04/2026 12:07:17 - Starting Category Microsoft Defender Exploit Guard
ID 18.9.77.13.1.1, HKLM:\Software\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\ASR, ExploitGuard_ASR_Rules, Registry key created
ID 18.9.77.13.1.1, HKLM:\Software\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\ASR, ExploitGuard_ASR_Rules, Registry value created/modified
ID 18.9.77.13.1.2.1.1, HKLM:\Software\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\ASR\rules, d4f940ab-401b-4efc-aadc-ad5f3c50688a, Registry key created
ID 18.9.77.13.1.2.1.1, HKLM:\Software\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\ASR\rules, d4f940ab-401b-4efc-aadc-ad5f3c50688a, Registry value created/modified
ID 18.9.77.13.1.2.1.2, ASR: Block all Office applications from creating child processes, d4f940ab-401b-4efc-aadc-ad5f3c50688a, ASR rule added to list
ID 18.9.77.13.1.2.2.1, HKLM:\Software\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\ASR\rules, 3b576869-a4ec-4529-8536-b80a7769e899, Registry value created/modified
ID 18.9.77.13.1.2.2.2, ASR: Block Office applications from creating executable content, 3b576869-a4ec-4529-8536-b80a7769e899, ASR rule added to list
